workerid,stimulus,sentence,pronoun,speaker,speaker_gender,intonation,verification,speechact_choice,sp_certainty,addr_certainty,sp_authority,sp_politeness,subject_gender,subject_age,subject_ethnicity
AHDBHMH3AY1V2,mom_eleanor_bon_f_rise1,mom,eleanor,bon,Female,rise1,Elinore is Annie's mom,Question,20,36,11,80,Male,2,3
AHDBHMH3AY1V2,married_ellen_ros_f_rise3,married,ellen,ros,Female,rise3,Ellen is married,Question,10,30,10,70,Male,2,3
AHDBHMH3AY1V2,obama_laura_ed_m_rise2,obama,laura,ed,Male,rise2,Laura met President Obama,Assertion,70,50,30,70,Male,2,3
AHDBHMH3AY1V2,yemen_you_ros_f_fall,yemen,you,ros,Female,fall,You're from Yemen,Request,50,70,70,50,Male,2,3
AHDBHMH3AY1V2,lawn_you_kev_m_rise3,lawn,you,kev,Male,rise3,You need to mow the lawn,Question,30,50,50,70,Male,2,3
AHDBHMH3AY1V2,rain_it_ed_m_fall,rain,it,ed,Male,fall,It's raining,Assertion,100,50,80,50,Male,2,3
AHDBHMH3AY1V2,spaceship_maria_kev_m_fall,spaceship,maria,kev,Male,fall,Bria was in a spaceship to the moon,Assertion,90,70,50,50,Male,2,3
A2QUQ0S2F6K3QJ,obama_laura_ros_f_rise3,obama,laura,ros,Female,rise3,Laura met President Obama. ,Assertion,87,87,73,52,Female,4,3
A2QUQ0S2F6K3QJ,spaceship_maria_bon_f_rise1,spaceship,maria,bon,Female,rise1,Maria was in a spaceship to the moon.,Assertion,56,58,27,51,Female,4,3
A2QUQ0S2F6K3QJ,mom_eleanor_kev_m_rise2,mom,eleanor,kev,Male,rise2,Eleanor is Anne's mom.,Assertion,88,84,66,53,Female,4,3
A2QUQ0S2F6K3QJ,beer_we_ed_m_rise1,beer,we,ed,Male,rise1,We should go get beer.,Request,43,57,73,53,Female,4,3
A2QUQ0S2F6K3QJ,yemen_lenny_ros_f_rise2,yemen,lenny,ros,Female,rise2,Lennie is from Yemen.,Assertion,87,83,73,61,Female,4,3
A2QUQ0S2F6K3QJ,yemen_i_ros_f_rise3,yemen,i,ros,Female,rise3,I'm from Yemen.,Assertion,91,90,73,66,Female,4,3
A2QUQ0S2F6K3QJ,armadillo_kev_m_fall,armadillo,armadillo,kev,Male,fall,Armadillos are mammals. ,Assertion,79,75,80,54,Female,4,3
A2QUQ0S2F6K3QJ,married_ellen_ed_m_fall,married,ellen,ed,Male,fall,Ellen is married. ,Assertion,87,83,75,54,Female,4,3
AL0IT4RSPIWGK,spaceship_maria_kev_m_rise3,spaceship,maria,kev,Male,rise3,real as in a spaceship to the moon,Request,39,42,26,39,Male,2,3
AL0IT4RSPIWGK,obama_laura_ed_m_rise1,obama,laura,ed,Male,rise1,laura met president Obama,Assertion,70,69,58,48,Male,2,3
AL0IT4RSPIWGK,yemen_lenny_bon_f_rise1,yemen,lenny,bon,Female,rise1,Lenny's from Yemen,Assertion,64,62,37,52,Male,2,3
AL0IT4RSPIWGK,mom_eleanor_bon_f_fall,mom,eleanor,bon,Female,fall,Elenor is Annie's mom,Assertion,81,86,68,47,Male,2,3
AL0IT4RSPIWGK,rain_it_ed_m_rise3,rain,it,ed,Male,rise3,It's raining?,Question,21,19,21,48,Male,2,3
AL0IT4RSPIWGK,married_ellen_ros_f_rise2,married,ellen,ros,Female,rise2,Allen is married,Assertion,51,49,30,52,Male,2,3
AL0IT4RSPIWGK,yemen_you_ros_f_rise1,yemen,you,ros,Female,rise1,You're from Yemen?,Question,38,33,41,56,Male,2,3
AL0IT4RSPIWGK,lawn_you_kev_m_rise2,lawn,you,kev,Male,rise2,You need to mow the lawn.,Request,69,72,62,40,Male,2,3
A2L4OASNEBRSR5,spaceship_maria_kev_m_rise2,spaceship,maria,kev,Male,rise2,Barilla was in a spaceship to the moon,Question,18,27,0,67,Male,1,5
A2L4OASNEBRSR5,lawn_you_kev_m_rise1,lawn,you,kev,Male,rise1,You need to mow the lawn?,Question,21,20,0,51,Male,1,5
