workerid,global_comments,gender,age,race,region,regionComments,sentence,speaker,sgender,intonation,verification,speechactchoice,spcertainty,adcertainty,authority,politeness,comment1,comment2
A17MCFC81SHAEW,no,gen=1,age=2,eth=3,CA,no,married,aar,m,fall,Ellen is Married,response=1,92,24,91,67,no,no
A17MCFC81SHAEW,no,gen=1,age=2,eth=3,CA,no,obama,ros,f,rise3,Laura met  president obama,response=1,78,36,72,67,no,no
A3L2VS3998R77L,Interesting and engaging ,gen=1,age=4,eth=3,New York whole life,Interesting and engaging ,spaceship,bon,f,rise3,Maria was in a spaceship to the moon?,response=2,39,95,45,85,no,she was young
A3L2VS3998R77L,Interesting and engaging ,gen=1,age=4,eth=3,New York whole life,Interesting and engaging ,yemen,ros,f,rise1,Lenny's from Yemen?,response=2,45,95,35,60,no,it was a female mid age
A3L2VS3998R77L,Interesting and engaging ,gen=1,age=4,eth=3,New York whole life,Interesting and engaging ,obama,ros,f,fall,Laura met President Obama,response=1,100,10,55,65,none,woman around 50
A3L2VS3998R77L,Interesting and engaging ,gen=1,age=4,eth=3,New York whole life,Interesting and engaging ,married,aar,m,rise2,Ellen is married?,response=2,10,100,80,95,no,male age 40
A3L2VS3998R77L,Interesting and engaging ,gen=1,age=4,eth=3,New York whole life,Interesting and engaging ,mom,kev,m,qrise,Is Eleanor Annie's mom? ,response=2,2,99,90,90,I first thought  Annie's was Andy's,Male with slight accent. 
A2P2XDYZMK96DK,,gen=1,age=2,eth=2,WI,,married,aar,m,rise2,Alan is married,response=1,100,100,100,100,No,Good
A2P2XDYZMK96DK,,gen=1,age=2,eth=2,WI,,mom,kev,m,qrise,Is Ellen riding with mom?,response=2,86,77,70,44,,
A2P2XDYZMK96DK,,gen=1,age=2,eth=2,WI,,obama,ros,f,fall,Laura met President Obama,response=1,100,100,92,96,,
A2P2XDYZMK96DK,,gen=1,age=2,eth=2,WI,,yemen,ros,f,rise1,Lanny is from Yaman,response=2,95,94,84,90,,
A2P2XDYZMK96DK,,gen=1,age=2,eth=2,WI,,spaceship,bon,f,rise3,Maria was in a space ship to the moon,response=1,100,93,89,84,,
A1UAKO9B6AQ8CF,no,gen=1,age=1,eth=3,Texas,no,obama,ros,f,rise1,you ever met President Obama,response=1,67,81,66,88,have you met President obama,none
